Serial	datetime	Pre-PressfitLoad	AssemblyAngle	PressfitLoad	AdjAmount_1	AdjAmount_2	Flowrate	X1	Y1	L1	OilLeak	PartNo	EqNo
202203190715912	2022-02-28T15:26:27Z	1.68	0.41	1.7	14.41	39.31	1072.63	1.3	-16.7	77.3	0	308	1
202203190715888	2022-02-28T15:37:55Z	0.84	0.46	1.7	16.08	38.86	1076.77	0.9	-19.8	83.4	0.16	308	1
202203190715889	2022-02-28T15:51:56Z	1.45	0.61	1.7	10.77	42.48	1059.91	0.1	-16.7	75.3	0.05	308	2
202203190715913	2022-02-28T15:52:18Z	1.09	0.8	1.7	8.07	44.97	1078.07	1.1	-16.7	80.9	-0.04	308	2
202203190715863	2022-02-28T16:00:57Z	1.52	0.48	1.7	14.56	39.93	1057.95	-1.4	-18.7	82.6	0.17	308	2
202203190715864	2022-02-28T16:00:59Z	1.57	0.52	1.7	15.28	39.49	1085.5	-0.6	-18.2	80.8	-0.07	308	1
202203190715938	2022-02-28T16:07:23Z	0.92	0.59	1.7	9.41	44.44	1076.93	-1	-18.8	82.5	0.18	308	2
202203190715890	2022-02-28T16:08:33Z	1.03	0.74	1.7	10.39	43.87	1052.67	-0.2	-18.3	81.5	0.03	308	1
202203190715865	2022-02-28T16:10:23Z	0.89	0.92	1.7	10.89	43.1	1065.68	-0.2	-15.1	77.7	-0.03	308	2
202203190715949	2022-02-28T16:10:38Z	0.61	0.66	1.7	9.91	43.66	1066.15	-0.1	-16.3	77.6	0.12	308	1
202203190715924	2022-02-28T16:28:13Z	1.51	0.56	1.7	10.33	42.49	1059.16	1.5	-15.9	79.5	0.02	308	1
202203190715900	2022-02-28T16:38:08Z	1.49	0.49	1.7	17.23	37.12	1078.63	-1.1	-20.1	81.5	-0.01	308	2
202203190715828	2022-02-28T16:43:44Z	0.73	0.65	1.7	15.26	39.18	1073.7	-0.6	-17.4	80.4	-0.09	308	2
202203190715877	2022-02-28T16:45:32Z	0.91	0.69	1.7	9.43	44.6	1073.09	0.9	-15.4	80.2	0.03	308	1
202203190715853	2022-02-28T16:47:26Z	0.99	0.71	1.7	9.34	44.41	1060.75	0.2	-17.7	77	-0.17	308	2
202203190715925	2022-02-28T16:48:55Z	0.84	0.87	1.7	7.5	47.33	1049.33	0.4	-15.7	81.5	0.04	308	1
202203190715901	2022-02-28T16:51:34Z	1.22	0.84	1.7	6.84	47.01	1053.77	0.3	-21.8	82.8	0	308	2
202203190715964	2022-02-28T17:02:23Z	0.73	0.68	1.7	13.86	40.68	1054.76	0.9	-17.4	76.2	0.04	308	1
202203190715827	2022-02-28T17:03:02Z	0.73	0.61	1.7	9.76	44.7	1082.82	0.2	-16	75.9	-0.01	308	2
202203190715939	2022-02-28T17:08:03Z	0.89	0.35	1.7	10.78	43.38	1068.86	1.2	-15.6	76.9	0.02	308	1
202203190715915	2022-02-28T17:15:30Z	1.03	0.89	1.7	11.19	42.96	1074.77	0	-17.6	79.2	-0.01	308	2
202203190715852	2022-02-28T17:18:54Z	1.49	0.83	1.7	10.13	42.92	1058.23	1	-15.5	77.8	-0.09	308	1
202203190715867	2022-02-28T17:23:48Z	1.31	0.61	1.7	13.55	41.01	1063.65	0	-16.2	74.8	-0.08	308	2
202203190715866	2022-02-28T17:24:49Z	1.3	0.84	1.7	12.96	41.69	1063.96	0	-17.6	81.1	0.06	308	1
202203190715891	2022-02-28T17:25:03Z	1.08	0.51	1.7	9.88	43.95	1072.87	0.3	-16.4	78	0	308	1
202203190715940	2022-02-28T17:25:26Z	1.11	0.5	1.7	12.23	41.85	1072.66	2	-16.2	78.6	0.03	308	2
202203190715951	2022-02-28T17:27:57Z	0.71	-0.4	1.7	11.98	41.98	1067.79	-0.4	-16.1	76.4	-0.03	308	2
202203190715854	2022-02-28T17:30:09Z	1.07	0.64	1.7	8.97	44.16	1062.62	1	-15.3	79.1	-0.01	308	1
202203190715881	2022-02-28T17:30:25Z	1.08	0.42	1.7	12.22	41.47	1049.65	-0.3	-15.4	76.8	0.04	308	1
202203190715903	2022-02-28T17:30:44Z	1.25	0.89	1.7	12.92	41.7	1056.84	-1.9	-19.5	80.3	0	308	2
202203190715893	2022-02-28T17:34:44Z	1.24	0.9	1.7	11.42	42.61	1060.14	0.7	-15.8	77.2	-0.15	308	1
202203190715868	2022-02-28T17:44:56Z	1.54	0.34	1.7	12.49	40.99	1066.13	-2.2	-20.5	83.8	0.17	308	2
202203190715904	2022-02-28T17:51:03Z	1.28	0.42	1.7	5.48	47.47	1075	1.3	-18.5	80.9	0.06	308	2
202203190715929	2022-02-28T17:52:39Z	1.15	0.78	1.7	11.62	42.69	1070.62	0.4	-16.8	78.9	0	308	2
202203190715880	2022-02-28T17:55:13Z	1.57	0.67	1.7	13	41.08	1081.73	0.2	-15.5	80	-0.06	308	1
202203190715942	2022-02-28T17:56:13Z	1.01	0.54	1.7	8.22	45.86	1060.35	1.1	-16.1	78.5	0.02	308	2
202203190715968	2022-02-28T17:58:44Z	0.71	1.07	1.7	14.31	40.39	1066.11	-0.5	-15.6	79	-0.01	308	2
202203190715967	2022-02-28T18:00:20Z	0.7	0.64	1.7	11.34	43.08	1056.64	0.4	-18.8	81.2	0	308	1
202203190715894	2022-02-28T18:04:45Z	1.4	-0.33	1.7	11.21	43.18	1072.95	0	-16.8	80.6	0	308	2
202203190715895	2022-02-28T18:06:55Z	0.94	0.91	1.7	10.16	43.64	1061.47	2.7	-18.3	81.3	0.1	308	1
202203190715919	2022-02-28T18:11:19Z	1.35	1.22	1.7	12.82	41.52	1064.48	0.3	-19	79.5	0.14	308	2
202203190715870	2022-02-28T18:18:06Z	1.65	0.76	1.7	17.29	36.89	1064.52	0	-15.5	77.1	0	308	1
202203190715845	2022-02-28T18:22:53Z	1.48	0.66	1.7	11.16	42.2	1063.89	0.2	-14.8	77.4	0.04	308	2
202203190715920	2022-02-28T18:25:04Z	1.32	0.83	1.7	9.04	44.5	1074.24	1.7	-16.7	81.9	0.01	308	1
202203190715954	2022-02-28T18:32:17Z	0.89	1.03	1.7	9.32	44.91	1078.89	0.8	-18.8	83.3	-0.07	308	1
202203190715955	2022-02-28T18:36:03Z	0.73	0.52	1.7	9.51	44.46	1081.23	-1	-14.6	75.9	-0.02	308	2
202203190715908	2022-02-28T18:38:09Z	1.1	0.55	1.7	10.45	44.05	1075.06	-0.7	-18.5	81	0.1	308	1
202203190715930	2022-02-28T18:39:13Z	1.17	0.91	1.7	15.76	39.14	1079.26	0.1	-15.9	78.6	0.01	308	1
202203190715847	2022-02-28T18:41:45Z	1.17	0.94	1.7	12.45	40.98	1067.08	1.1	-18.5	82.2	-0.08	308	2
202203190715892	2022-02-28T18:44:37Z	1.34	0.6	1.7	12.01	41.42	1063.72	1.9	-16	76.1	0.05	308	2
202203190715906	2022-02-28T18:47:30Z	1.52	1.03	1.7	13.93	39.95	1066.9	-0.9	-16.2	77	0.05	308	2
202203190715842	2022-02-28T18:51:39Z	1.33	0.53	1.7	14.79	39.28	1080.95	0.5	-15.8	78	0.05	308	2
202203190715931	2022-02-28T19:20:18Z	1.1	0.64	1.7	11.93	42.98	1068.31	0.3	-18.1	80.6	0.02	308	1
202203190715834	2022-02-28T19:22:33Z	1.8	0.75	1.7	14.85	39.72	1067.61	0.4	-17.7	80.7	0.1	308	1
202203190715928	2022-02-28T19:22:47Z	1	0.74	1.7	12.66	41.53	1066.81	0.2	-16	75.1	0.05	308	2
202203190715946	2022-02-28T19:24:50Z	1.49	0.58	1.7	20.03	33.51	1067.27	1.8	-15.9	76.8	-0.02	308	1
202203190715856	2022-02-28T19:28:49Z	1.36	0.06	1.7	14.52	39.57	1074.67	-0.6	-17.4	78.2	0.02	308	2
202203190715898	2022-02-28T19:30:11Z	1.67	1.11	1.7	12.43	40.55	1055.55	-0.5	-15.7	78.8	-0.04	308	2
202203190715871	2022-02-28T19:33:28Z	0.83	0.53	1.7	11.88	42.61	1082.27	1.2	-16.1	76.3	-0.02	308	1
202203190715971	2022-02-28T19:36:21Z	0.71	0.6	1.7	12.96	41.53	1081.18	0.9	-15.5	79.3	-0.1	308	1
202203190715969	2022-02-28T19:37:13Z	0.7	0.82	1.7	13.36	41.26	1073.04	1.3	-19	80.2	0.05	308	1
202203190715918	2022-02-28T19:40:02Z	1.25	0.74	1.7	10.58	43.07	1067.83	1.2	-18.2	78.7	0	308	1
202203190715921	2022-02-28T19:46:42Z	1.3	-0.39	1.7	13.75	40.04	1075.54	0	-16.6	73.6	0.08	308	2
202203190715896	2022-02-28T19:58:17Z	1.59	1.11	1.7	13.85	39.94	1075.15	1.4	-16.9	81.6	-0.03	308	1
202203190715869	2022-02-28T20:01:29Z	1.6	-0.58	1.7	11.5	43.15	1059.52	0.7	-14.1	78.6	-0.06	308	1
202203190715848	2022-02-28T20:08:08Z	1.48	0.98	1.7	12.63	41.27	1070.68	-0.1	-16.1	77.2	0.01	308	2
202203190715945	2022-02-28T20:10:20Z	1.27	1.07	1.7	10.49	43.05	1057.41	-0.1	-15.5	78.7	-0.06	308	2
202203190715897	2022-02-28T20:16:54Z	1.53	0.67	1.7	14.79	38.59	1079.23	-0.1	-14.9	80	0.06	308	2
202203190715944	2022-02-28T20:17:42Z	0.67	1.24	1.7	12.24	42.76	1061.8	0.8	-16.1	77.9	-0.05	308	2
202203190715957	2022-02-28T20:17:47Z	0.73	0.84	1.7	8.16	43.69	1076.69	3	-17.3	76.2	-0.03	308	1
202203190715959	2022-02-28T20:18:53Z	0.7	0.5	1.7	11.98	41.29	1067.32	-0.4	-16.3	80.1	0.06	308	2
202203190715911	2022-02-28T20:29:28Z	1.36	0.34	1.7	12.42	40.7	1075.94	0.7	-14.6	76.3	0.06	308	2
202203190715885	2022-02-28T20:45:57Z	1.14	0.82	1.7	14.99	40.91	1077.88	1.2	-16	77.3	-0.05	308	1
202203190715836	2022-02-28T20:51:48Z	1.67	0.78	1.7	11.24	42.31	1079.3	1.8	-16.7	80	0.07	308	1
202203190715860	2022-02-28T20:56:53Z	1.57	0.66	1.7	15.57	38.15	1079.43	0.7	-17.1	78.2	-0.04	308	1
